review,rating
Amchya zivavar company chalavarat Ani tumchya pramane ret tharawatat he koni sangitale Ata pass pan ghya Ani pratyak raids mage 3rupaye kadhayacha Dhanda suru kela ret Pan khoob Kami ke liye he band kara,1
ok,5
where good app,5
sir call me mai order nhi le pa raha hoon please help,5
not booking Resecv Long time wathing,1
Order not accpted,1
ORDER SECTION TOO HARD TO SEE AFTER UPDATE. OLA WALE ACCIDENT KARWANA CHAHTE HAI. No support for Ola Driver no Customer care for Ola driver no Support team for ola driver Digital payment not credited from ola to driver Bhai log ola Digital payment wale se bach ke rehna my payment stuck,1
chiting money,1
in new update the booking is not showing full address you guys have to update this asap to that we have to see the full address while picking up the order,1
good,5
The app was already worst with no proper bookings to the riders and now with new update we can't even see exact pickup address and drop address.,1
not good,5
old version is good but new version is not good,4
Poor app,1
गुड,5
The latest update (Display size) is very small. Also the pop up screen is also small.,5
Good experience but my phone show hinging ola partner company,5
"Nice changes, I love it, Good Job Ola Tem, You resolved lots off issues in this changes. please include 3 mint waiting and after waiting time will be charge able and if customer canceled the ride at the time of arrived. Atleast arrange a customer support team. Thanks",5
"Worst app, Ride hi nahi accept hoyi hai, chahe aap inka subscription lelo ya mat lo. aur jaise taise uth bhi jaye to 99% ride fake hoti hai. very bad app. 1 star se kam rating nahi hai nahi wahi deta.",1
ride kam bajati hai right jyada bajani chahie,5
ab ola driver app mein food parcel grocery ki booking nahin aati hai sabse pahle rapido mein aa jaati Hai,1
wrost app and service is also wrost,1
Very bad service,1
nice,5
रेट बढाव रेड बडा ओला वाले रेट बडा,1
okay this app download the day,5
Not working in Bangalore,1
good,5
lettes very small,2
font bahut chota kar diya hai dikhta hi nhi hai kahan ki booking Hai,1
accept button mein badlav Karen aur grahak car rating dikhayen,1
"partner helpline support not available, ratecard also very low",1
good servicee,5
booking is the not expet,2
very rude and very bad performance in ola and distance calculate is very wrong and long ride distance calculate is very wrong long recharge booking no give me per day recharge booking give me very very froud in ola,2
good 😊,5
very very bad app low price in driver,1
I am frustrated. I want to register but when I am opening the app it shows you have a pending balance of 15 and when I am trying to pay this it's not working. And except of payment pending option no other option is showing. what do I do? I don't have any Idea. If it will continue like this then I will delete this app and suggest more friends to delete this. In this matter rapido is much better.,1
nice app veri good,5
worst aplication,1
"very bad, not good app in rider, because.....",5
good,5
chor h bina bat paise kat leta h,1
don't size is very small pls little big font size cannot see,5
Hello Partner Care It's been a year since I drove in them. I have never had such a problem. The rights are not coming in Vala. I am using their same app ఎయిర్ పోర్ట్ అసలు ఒక్క బుక్కును కూడా రావడం లేదు plz help me,5
super hero ola bar deta hai mera jola,5
best delivery partner app than porter 👍,5
"issue with ride accepting...,vry worst app recieved ride...!? i have taken subscription plan also ,but in cnt take ride",1
very bad app not updated,1
goood,5
ola application booking accept problem,1
best rates for drivers and customers too.... 0 commission started....,5
good for exalant,5
bad performance 😔,2
"for new onboarding, the document upload is failing...need to solve this issue ...also need to update the app",1
nic,5
good 👍,4
good,5
best experience plz update this app,5
good,4
have a best experience,5
❤️,1
"when can we all expect the newer version of ola partner app, which you guys told about? and am from Mysore.",1
charging additional charges of 3rs for every trip completed after subscribing ola daily and 3 days pass and shows negative balance,2
not use not bad,5
partner care not available,1
full scam very bad app......😡😡,1
WORST APP.. POOR UI.. NO DUTY BUT DRIVER DOING RECHARGE ONLY BUT NO DUTY,1
Actually I am driving in pune city and we are issue of your rate don't know but you can check it that fare so much less giving by ola that please fix this issue as much as soon. Cause we are so disturbed and worried how the fare is getting less from last 4 to 5 days,1
chalu nahi ho raha hai,1
worst app,1
nice,5
please give me Big ride 😭😭😭,5
good,5
good,5
new accept app not update pls update my app,5
very good app,5
worst,1
not working,5
pls update app,1
this platform is totally fraud,1
ola app cantunu,5
Best earning,5
but ola not update,5
uptdet chang karo ride nhi ut rhi,5
very bad 😞,1
unable to pay my excess cash and buy a subscription,1
super duper hit Ola 😀,5
worst,1
not getting ride only money and time waste.same on u ola,1
still not updated app auto payment,5
0 ಕಮಿಷನ್ ಅಂತ ಹೇಳಿ ಪ್ರತಿ ದಿನ ಪ್ರತಿ ಆರ್ಡರ್ ಮೇಲೆ 3 ರೂಪಾಯಿ ಕಾನ್ವೆಂಸ್ ಫೀಸ್ ಅಂತ ಕಟ್ ಮಾಡುತ್ತಾರೆ ಓಲಾ ಮಂತಲಿ ಪ್ಲಾನ್ ಅಂತ ಹೇಳಿ ಲೋ ಬುಕಿಂಗ್ ಆರ್ಡರ್ ಆರ್ಡರ್ಸ್ ಕೊಡತಾರೆ(25% ಆರ್ಡರ್ಸ್ ಎಕ್ಸ್ಟ್ರಾ ಅಂತ ಹೇಳ್ತಾರೆ ಸರಿಯಾಗಿ ಆರ್ಡರ್ಸ್ ಕೊಡಲ್ಲ) 90% ಆರ್ಡರ್ಸ್ ಎಲ್ಲನು 1.5.KM ಮೇಲೇನೆ ಪಿಕಪ್ ಕೊಡತಾರೆ.,1
worst app,1
very good,5
bad ola company heavy risks company,1
bahut hi bekar management hai sabse bekar kam hai iska ride except nahin hota Hai accepting system bahut bekar hai kabhi kabhi ride accept karne se pahle kuchh aur payment rahata hai aur and karne ke bad kuchh aur payment ho jata hai matlab pahle jyada dikhta Hai FIR bad mein kam ho jata hai bahut hi ganda issue hai,1
login time ' due recarge payments not working the option online 💔,1
Ola online aapke documents verify nahi karegi iske liye brocker baitha rakhe hain jo aapse paise lekar aapke orginal documents ki verify kar denge ye online or offline scam hai,1
Worst app anyone can build. U cant even accept the rides.,1
ok,5
ok,5
Na lavdala app waste,1
Great app,5
"not good. less pay for drivers. abnormal volume up when incoming booking coming. no customer support. today I faced a customer. he drunk. he sat on bike . he is sleeping and his body out of control, he almost fell down situation came. i stopped the bike. asked the customer. but he is not responding properly. before pickup he seems to be good. while on ride. he is out of control. I don't have support from ola. how can I handle that situation. rapido is 100% good for customer care support",1
don't use this app worst app,1
"A completely useless application. They will give you many bookings before you become a subscriber, but you won't be able to accept them.Once you subscribe, you will no longer receive booking requests... and no helpline number for ola driver's.. totally scam.. don't use ola .. do whatever you want to do but don't do ola.. this is scam they took money from you",1
"A completely useless application. They will give you many bookings before you become a subscriber, but you won't be able to accept them.Once you subscribe, you will no longer receive booking requests...",1
Update now new version in my id,1
not working this,5
good,5
stupid app,1
app is very slow.....and not accept any bookings,5
good,5
super,5
booking nahi hai,1
please update the app to 2026 module .. some of them got it some of us not got the updated version.,5
high rate wali booking accept nhi hoti h,1
sabase bekar,5
good,5
Exllent,5
very good,5
Unable to enable go to,1
bekar hai,1
3rd class service ajj pura 31st barbad kr diya ghtiya company pune mai ky rate hai tumhara aise hi barbad hoge dekhlo,1
👍 Good app but not respond customer care not fluently orders..next problem notification internet signal slow App future help me ola...,5
good 💯😊,5
happy with Ola,5
God app,5
good,5
worst app,1
good direction,5
laik,5
yas,5
not updated the app,1
my account is login failed more than 3 days no response,1
💔,1
3rd class service,1
stop the auto clicker,1
"the worst ever customer service, if there the company itself doesn't have solution",1
very nice,5
good job app,5
good,5
super,5
oc traveling ola app,1
most useful aap,5
New Update Is Not Complete Working Please Old Ola Open,1
please update new version,5
monthly wala recharge karne ke baad bhi convence fee ke naam par har trip me paise minus kar account pe lagaye ja rahe hai why? aur shikayat krne ke liye customer service bhi nahi provide hai..ye bilkul bhi sahi nahi hai .,1
nice,5
ola is best,5
एकदम छान आहे 👌,5
On Saturday a payment of rs 277 not received. Trip was from canara Bank colony to near sambrahma institute of technology. Please do the needful.still not received today is the 17th July.even today the 31st December i have not received the payment.,5
do not work,4
nise,5
bad,1
low fare. fare not given as per meter,1
super,5
superr,5
app not working,1
Problems with accepting of booking.,1
good,5
very bad service customer support not resolved this issue,1
"Very Low Auto Fares in Pune – Not Matching Meter Rates I am an auto-rickshaw driver using Ola Auto in Pune, and I want to highlight a serious issue regarding the fare structure. The auto fares shown in the Ola app are much lower than the actual government-approved meter rates in Pune. Because of this, drivers face daily arguments with passengers and it has become very difficult to operate an auto-rickshaw sustainably.",1
booking not accepted properly,1
"Ola Electric customer support is useless. I have been calling continuously from 19 December, but there is no response at all. Complaints are raised but always stuck at “In Progress” with no action. They sell vehicles aggressively, but after delivery, customers are completely ignored. This is not acceptable for a company like Ola. Very frustrating experience.",1
good,5
it's very bad,1
"now a days rapido is giving more fare then ola and also giving incentives,ola plz don't decrease ur fare rate.day by day your losing faith of customer,when driver not picking up ur bookings because of low fare.",1
Very bad app safety is not there in app,1
worst app,1
nt updating,1
don't install this app,1
waste and useless app,1
bekwas,1
ok,5
new update me glitch lag h bohot,5
I request to all my auto drivers boycott ola ap ola ap is frode company,1
good,5
kindly not receive ola booking . ola now given 14rs per km,1
Ola Best' app hai,1
bahut ghatiya apps he membership lene ke baad ye badi ride ko accept hi nhi karta aur karlo to automatically cancel kar deta he aur membership lene ke baad to booking bhi nhi aarahi he mere paas pichle 3 din se ek bhi booking nhi aayi puri city me bhi,1
new app not update,2
bad app please not installed,1
platform peace Kyon lag raha hai isko band karo nahi to ola koi nahi chalayenge ek to kamai nahin Hai upar Se platform fish lag Raha Hai kyon lag raha hai sirf ola mein Hi lag Raha Hai platform fish,1
this application is no us,1
ok super 💯,5
font is size small plz i want big size 😎🤏,1
worst app for drivers...No fares No bookings bookings..use full for customers only not for Drivers,1
very nice pic,5
sabse bekar advice,1
"Ola 1 is a sleeping company, bookings are not coming, navigation system is useless, subscription amount gets wasted.",2
bhai ola tu chata kya hai Autoclickr kam nehin karta hai booking show nehin karta hai ab Insan kya kare,1
worst application i had worked with,1
ola best ahe,5
there was an order night. I delivered. but the order still got cancelled due to customer not getting OTP issues and I did not get the money for that order. After some days I just saw 540rs negative balance. if I call partner care the call is getting disconnected just after placing the call from 4 or more days. what kind of a company doesn't have a single way to contact customer care? so I delivered ordered promptly and what I get in return? no money for that order and 540rs fine or penalty?,1
super,5
ಸೂಪರ್ app,5
idont know what's the issues icannot able to login,1
customer service very bad,1
this application is very bad . there are no orders for accepting. only says that buy ola pass 299 for one month.after bought a monthly pass there are no any order for accepting.,1
faltu,1
nice app,5
super,5
very bad service ola any time low price duty,1
👍,5
bad login service,1
low fer,1
😡😡😡,1
accepting passenger booking is the worst . not even a single order is accepting. do not download. try other apps for auto rickshaw 🛺,1
road company driver loss company,1
charges to low for riders Rapido vl give 48rs ola 28rs,1
nice 1,5
best,5
good,5
wrong trip distance ola app distance 9.70 km 145₹ & google map 12.00 km 204₹ money diff is 59₹,1
Best,5
worst app,1
supar,5
best app,5
Good 👍,5
ola sabse bekar app Hai 25 December ko mere pass ek ola bike ride mein food ka order aata Hai main restaurant per pahunchta Hun to vahan per order show nahin karta hai vah bolate Hain ki order pahle se ho chuka hai deliver Maine customer care se contact karne ki bahut koshish ki lekin Koi contact Nahin hua Maine usko aise chhoda agale din mein dekhta hun to meri ID on Nahin Hoti Hai uske bad us per mujhe 546 ki penalty Laga Di jaati Hai jabki galti unki app ki thi koi bhi log please ola matchalo,1
excellent,5
good,5
good experience,5
Good,5
way it's not working,2
worst app ever I use for an auto rickshaw. lowest rate and earnings on this app. so i hate this app.,1
no customer support for drivers,1
auto in jaipur pickup location in every ride 2 km far away. when driver reached location ride was cancelled.,1
bekar fare,1
The rates are much better than Uber and Rapido.,5
good,5
"""OLA"" Kote ke aurat se bhi saste ho gaye ho aap, Jab riksha walo ko government ne pune me RS 17 rate diya hai, to aap RS 13 kaise kar diye, hote kon ho tum aise karne wale. hum ne aap se jyada to manga nahi tha. platform charges ke nap pe RS 29 lethe ho, ab rs 3 rupee per KM extra le rahe ho, thodi to sharam karo, hum Riksha walo ko kyo lut rahe ho. Tab bhi hum man lete, lekin ye Rate kyo kum kar diye ho bhai. tumse Lakh gun Rapido hai, salute to Rapido.",1
ola pagal Ho Gaya Hai,1
not with ola support my money is not credited yet.,1
your recently updated in a app not showing address and is showing very small text show full address and ok we can't work this company,1
super,5
i want update,5
best,5
very low prices too much,1
good,5
ola chor company hai toll nhi diya mujhe call kar raha hu to hold par rakhi jaa rahi hai or kat ho jati hai,1
ola company ko apna sistam update karna chahiye 1 ride 10 parison ke paas jati hai not 🚫 Accept ride and Ola company,1
for android 16 new update not avilable and per kilometre also less than 18 rupees please update both issues,1
"good, 💯",5
worst ola partner app,1
good,5
good ola,5
good,5
good 👍,5
even after subscription u have to wait for 6 sec to accept ride so what's point of subscription. also getting less rides after subscription,1
ola app not working not installed latest option update new version,1
not getting orders from this application,1
worst app,1
"I am Bashir and I am working in Ola for the past 1 year. I have done 700 trips And I have 5 star ratings. But outstation trips are not being activated for me. I have been calling partner support care for the last 3 months but no one is responding to me, I am in a lot of trouble Please activate my Ola outstation Please help me, please",1
road app,1
OK,5
best,5
ola price very low not getting booking,5
very good,5
i am happy this app,1
good,5
रीकशावाल्याच्या जीवावर घर बर बीकारी,1
Thanks for support,5
No one should book Ola. Ola is a fraud. Earlier I was cheated in Ola's scooty and now I am doing fraud in booking.,1
very good app taking money from driver for platform fees & giving short trips very good idea most of driver using clicker if short trip accept then they cancel then booking come to poor driver. company not taking any action because they taking advance money in this poor driver & poor customer getting problem but company have no issues because company want only money keep it up they not giving any answer for reviews because they only want money very good doing ola company all the best,1
ड्रायव्हर लोकांचा रक्त प्यायला घेतलं आहे ओला ने मीटर पेक्षा पण गये गुजरे झाले,1
nice,5
after subscription the 299 plan also not able to receive the rides...,1
"in latest updated application, not getting any amount according to kilometres travelling. getting less almost 20 to 30 rupees in each booking requests, which is the trip that is more than 8 to 9 kilometres..... better to stop driving with ola until the issue is not taken seriously and till the issue not resolved...",1
ola Ubadate,5
worst app,1
bookings accept nahi hota h glat app h ola ka time best hota 2 ghante se betha hu booking aate h accept nahi hota h 😭😭😭😭😅😅😂😂😂😂🥳🥳😁😁😁😆😅😆😅🤣🤣🤣🤣😂😂😂,2
very bad,1
bad app,1
"Worst Application If you have any issues related app there's no proper contact regarding customer service. Also when ride request appear and you approved then suddenly it disappeared from acceptance. Ola, if you wanna grow then please update your facilites first, provide proper problem solutions and customer care number. This service also unable in Google because they discontinue the service number.",1
nice app dirave,5
app has serious issues with accepting rides,1
bad,1
very very bad aap booking as not perfect amount per km very bad,1
Drivero ka pareshan karta h,1
third class app,1
mast bhut achha,5
chor app,1
go home not successful,2
good for earning,5
ola everyday become worst service ride accepting time showing 10 km after entering OTP shows 5to 6 kilometre more but fair is not adding who is maintain all this bloody nonsense fellow there is no contact customer care number this is the way giving service to the driver can you please close the company that is better,1
acha kamai nahi hai,1
ड्राइवर के लिए बहुत ही गंदा ऐप हैं ए ड्राइवर का खून चूस रहा है कृपया ए ऐप को बंद कर दीजिए,1
Bad,5
बहुत ही गंद ऐप्स है डाइबर के लिए डाइबिग के लिए ऐसे एप को प्ले स्टोर से बैन कर देना चाहिए,1
😍,5
chor company hai,1
lower rate,1
ekdam faltu aap he ret bohat kam deta he or driver ka khun chusneka kam karta he or enka castemar clear helplain phone bichme hi kaat deta he,1
outstation booking Open kare,5
good,5
kam bhut jyada Kam he,1
good,5
not possible to accept ride west app please update new versions,1
supar,5
no support nor any no to call mostly rides are too long pickup either they booked and before reaching to pickup point they canceled it,1
KM rate is very bad😔🙏 permanently uninstall this app,1
"very bad ,, kabhi booking ache price m ati hai ,kabhi kabhi bahut hi price ki booking ati hai very bad service ola",1
"I don't think this app will last long now, it is not even paying according to the kilometer and is charging Rs 25 per day and now Give them Rs 3 per ride.",1
very badly 😔,1
not good app,1
unable to login,1
ola faltu hai,1
super,5
ye acha app hai ride bhi sahi deta hai,4
best,5
my phone is not updated ola new version 😡😡,1
NOT ABLE TO CHANGE MY PRESENT VEHICLE,1
Best app,5
very nice 👍,5
good,5
bahut ghatiya,1
Excellent Application,5
customer service issues ola rider app se customer care per baat nhi kar sakta hai,1
wrost app ola,1
I am not happy for this app shame on Ola very low rate for auto rickshaw,1
badhiya hai ismein kam karna acha lagta hai,5
seamless app Thad class app,1
"plz request to government ban this app , in pune maharashtra 15 rp km rate. as per government law 17 rp per km . worst app and fraud , no coustomer support , ban ban ola , best app rapido",1
worst,1
very bad orders,1
worst,1
fraud ola,1
very nice app,5
any booking cut -3 and per day recharge 25 but no booking fraud app ola,1
ॲप ॲप चांगला आहे फायदा भरपूर आहे पण एक त्रास आहे जेव्हा आम्ही आमचा पिकअप घेऊन जातो ड्रॉप करतो त्यानंतर गो टू ऍड्रेस टाकल्यानंतर आम्हाला गो टू ऍड्रेस वरचा एकही ऑर्डर पडत नाही पडली तरी उचलू शकत नाही कारण तुमचा टाईम संपून जातो एवढेच खंत आहे तेवढा जर तुम्ही तो टाईम काढला तर खूप बरं होईल जेणेकरून सर्वजण त्याचा लाभ घेतील धन्यवाद आभारी आहे ओला,5
ride not accept,1
cutyaa appp,1
kolkata mai ola ka rate bahut ghatiya hai ola se accha tu rapido hai,1
why does ola not allow it partner instant withdrawal of earnings facility like uber and rapido. and also they don't write what is pickup and what's drop location just just green and red sign given.,1
good,5
super,5
waiting charges badhai,5
near pickup not available only 1 km and 2 km distance,5
very good,5
kindly update to our mangalore city meter charge,1
good app,5
Bad experience for ola app booking is not accept,1
ola not provide bockings after substitution pass and vest driver pass money very bad service,1
ola ghatiya hai rate kam hai,1
very good Ola,5
supar,5
good,5
very bad service booking pane ke liye finger ko anytime mobile ola ke upar rakhna padta hai fir bhi booking nahin milati pata nahin booking jaati kisko Hai bahut bada ghotala hai,1
"Not safe for the driver,",1
3rd class app,1
nice मीटर के हिसाब से पैसा देते नही लेकिन,5
ओला ड्रायव्हर लोगो को प्रॉफिट कम दे रहा है. किलोमीटर का रेट कम. उपर से हर ट्रीप के पीछे 3 रुपये लेता है. प्लॅटफॉर्म फी. 25 रुपये लेता है. एक दिन के पीछे 60/70 रुपये ड्रायव्हर से कमाता है. ड्रायव्हर को ही रेट कम देता है. 12 किलोमीटर को 170 रुपये रेट देता है.,1
"The auto fare from Chandakya Nagar to the station is Rs. 30 per person. For three people, it would be Rs. 90. However, you are offering us Rs. 70 or Rs. 69, which doesn't seem fair. Has the fare rate been changed suddenly? Could you please clarify the calculation?",1
ostha app ola,1
Aaj order follow kam lag raha he band kar do ola driver app,1
can't accept order,1
more than love in my ola app,5
3rd class,1
best aap,5
good,5
best,5
not good,1
ola it is best app,5
THERE IS NO USE OF WRITING LONG LONG REVIEWS. YOU GUYS DON'T CHANGE,1
no order on my id,1
👎,1
nice ola,5
good work,5
baid app ola,1
excellent,5
good,5
bad app ride to ati hai but accept nahi hoti hai chahe kitna bhi accept button par click kar lo,1
3 km pickup and I reached location customer is cancelled the trip,1
very bed ola apk,1
distance kam kar deta hai 20 km ko 15 hi dikhyega or paisa kam kar deta h,1
very bad,1
old version mast hai,1
ola app working on frode amount chengede driver partnar sathi on ola app workers' was ola froude,1
Mera id nahi ban pa Raha h very bad I am so sad My Name Md Zaki Imam my phone number.7079xxxx90,1
good app,5
Excellent service,5
Good,4
Nice,5
😡 bahut hi jhandu app hai,1
super,5
nice,5
partner customer support is very bad 🤬🤬🤬🤬,1
good,5
this app no help line no solution very bad app,1
"I used it for 4 days and got very bad experience. There was minimal help for the drivers. I got with a customer at the end of the ride he waited me 10+ mins and I couldn't do nothing, and couldn't even use the help option showing in the app.",1
worst app document original uploaded but so many times rejected,1
good,5
Work fine,5
so nice,5
good insentive 👏👏,5
good and great,1
my id not create someone use my license or any documents I am creating my id on ola partner app what I do?,1
new update,5
ola driver app is not driver friendly low fare charge pich up location up to 2 km rider not wait and cancelled trip no trip cancel charge this tipe driver app work it future this type work more loss ola app more than driver exit ola driver app fare price too low......,1
not good ola,4
worst service.,1
offline nahi ho raha hai,1
gooe,5
unprofessional,1
I was in the past 1st number driver in 2014-15 ....at that we were getting 30/kms at airport at present same pick-up destination Rs13/- compare to another Brand Rapido Giving nice More than ola Anyways....My female help me 🙏 lot's of.,2
I am a rickshaw driver. Your application is not working for us. Please remove the application without a stripe and update it.We are unable to reach our server. Please try again OK,5
super,5
good,4
new update fantastic,5
super,5
many problems,2
ola company chori garibon ko choose rahi hai aur khud maldar ho rahi hai Ham is company se bahut pareshan Hai humko bahut kam rate Diya ja raha hai,1
unable to accept orders,1
"rides and food orders , not coming ,time waste",1
still we are getting old version my version is 14,1
💞 i 💞love💝Ola💝🛺💝,5
low price,1
Ola is not giving My Earned Money,1
nice,5
Ola bahut badhiya hai is app mein order maarte samay hamen bahut hi aasani hoti hai,5
ek bhi ride nahin aati Rekha hai ki app banai hai,1
not accepting orders app issue,1
good 👍,5
good service,5
"For the past 5 days i have been charged 149rs twice a day, one time I have to purchase ola pass and in between 5 am to 5:10 am ola has charged 149rs. I really don't know what to do",1
no happy,1
update in ola driving app,5
very good ola app,5
this app slow order app not order accept slow,1
super app,5
good,5
good,5
"Ola's rate is very low, it is the most useless app, if it remains like this then no Ola driver will use this app, Rapido gives better rate than this",1
please don't download this app very harmful for driver,1
फालतू,1
third class app pathetic app,1
frud company driver ke saath dhoka krti hai,1
very versatile worsted app,1
super,5
good earning,5
probalam acpetd ride,2
best,5
give me first customer care number in drivers,1
"can't even verify the rc tried multiple times,,, I have rc online i didn't make it physical to getting rejected",1
platform charges higher then other apps,1
not open and working properly only processing..,1
v good,5
hamesh wrong map actual 9 kilometre application me 8.2 fair 137 can't drive more for ola 3 rupees extra charge sab loss bhavesh Agarwal hamse wasul karne wale he har ride loss me drive karna padta he..,1
"Ek aur shandar update lekar aaya hai ola. Ab trip accept karne ke baad aapko aapke app me najar nahi aayegi, per customer ko dikhegi",1
V.good,5
good,1
Nice App Good Earning's,5
okay,5
RINKU AGRA BICHPURI आगरा में ओला को 3/8/2025 से पूरी तरह से बंद बंद बंद करेंगे,1
not working,1
"not able to accept the rides they r cheating....when i accept the ride, it is loading and loading....loading......worst experience with ola",1
very bad ola not received ride,1
gud app,5
ola new application not updated please update new application and send me new link,1
ok,5
bad,1
fantastic,5
booking nahin a Rahi please booking request ka kuch kariye meri ID per,5
superb,5
because app is not working properly,1
Nice,5
👍🏻 good,5
Xlent,5
good,5
worst,5
ola is very good app super,5
ok,5
no sufficient booking and worst experience with accepting rides. when we're trying to accept booking there's less than 2 sec worst app,1
Nice,5
"first rides ivvandi incentive taruvata pedudhuru kaani, worst",1
worst app i have ever seen.. no customer care service number worst and fraud ❌ app plz don't use this app 🙏,1
give update latest version,5
good,5
Not use the wifi network,5
bad,1
worst app,1
don't join ola because this is toll not given guys robar company,1
naat keliyer,1
good,5
isse with app no update no customer care support,1
happy,5
booking uthane ke Jo click karna padta hai usko Sahi kariye Ola app Jaise Uber rapido mein ek bar mein ud jaati Hai right vaise ola ka bhi kariye,1
very nice 👍,5
super,5
worst app for parcel they will assign us where order only not there and too many deductions to get our earned money. not friendly use for driver and not showing exact adress. And there is no customer care to get help only audio will be there for help where will not give proper information.,1
worst app for drivers there is no castomar Care number no one is there to help to the driver's,1
koi order nahi melta 15 day ho gaye hai koi ride nahi padte vaste time only,1
good 👍,1
👍👍👍👍👍,5
one of the best update .... problem with sound and vibration is solved .. really loving it ...it's class update please maintain this and you will get lot login more than rapido ...we are around 10 memeber...auto drivers ...after seeing this update we have decided to instal rapido and use OLA regularly we had serious prblm with old(sound and vibration) please maintain this ✨,5
Very chip prices,1
having good experience,5
agra up me kaam slow h,5
almost fake orders app display is worst,5
weri bad app no booking,1
Good,4
payment is delaye bank account update ka app me options nahi chor kampny hai ola bakvas app hai bhi ola me kabhi mat kaam karo isme kuchh bhi prablm hota hai to customer care vaale pura baat nahi karte hai na hi jaldi call lagata hai aur phone bhi cat kar dete hai baar baar pura help bhi nahi karte hai very Baid app hai ola ka,1
so happy 😁😁😁 ola driver i... love you,5
"3 rd class app hai.2 din se trip hi nahi baj raha. Update Kiya, login Kiya delete karke fir install Kiya fir bhi trip nahi aa rahi. customer care ka bhi no nahi hai.contact kare bhi to kaise kare",1
ola ko call aur contact ka permissions kyun chahiye,1
very good 👍,5
good,5
very good Ola i love you,5
ok,5
aap ko achhe se banana chahiye isme itna problem hai booking 1 me aani chahiye kai me ek sath aane se problem hoti hai,1
low price only,5
good platform,5
nice,5
"no any customer care number, very bad",1
very slow,1
Worst platform after buying 1 month subscription plan not getting enough booking. Mostly I'm getting booking between 90-150 for long pickup and long drop it has showed me buy subscription and you will get booking of more than Rs.450 and you will get continue booking but after that also i have to wait for 1-2 for booking. For last 1 week i have not earned enough. Before buying subscription i was happy with the earnings. Ola wale maal fook k bhada dete h.,1
"Dear Ola Team, I am writing to request that you please stop the newly introduced option in the Ola Driver app where ₹3 is being charged on every ride. Either this ₹3 per ride charge should be removed, or the ₹299 wallet recharge plan should be discontinued. At the same time, I also request you to kindly increase the per-kilometer fare for drivers. Currently we are effectively earning only around ₹14–₹15 per kilometer. This amount is not sufficient considering rising fuel costs, vehicle maintenan",1
auto accepting mode is wrong. drivers are suffering.,1
Not getting any trip request from past 3 months after paying for subscription very sad,1
OLA EASY TO RIDE,5
nice 👍,5
third class app because order or not accept yet -10 rate in this app,1
"orders or not coming very low, parcel order also payment tooooo low, trip amount is very low others gave 12to15 per km . u make us reacharge 69week , 15 daily but no enough orders,",1
not giving the duty,1
good aap,5
nice,5
the person who doesn't buy ola pass are getting more rides and getting accepted very fast than the person who buys the pass,1
They charge too much comission. If we collect 60 rs from customers ola takes 50% as their charge. Today i dropped one customer the charge is 54 rs but ola paid me 29 rs😂😂😂🙄 25 rs they taken. Ola sucking blood of riders. ஓக்க விட்ட ஓலா பாடு 😂,1
white Patti nahin aani chahie ओला राइट्स,5
how to change my number,4
ride nhi deta,1
super,5
good,5
bad application,1
"The driver shows fewer kilometers when accepting the trip, but after starting the trip, the distance increases by two to three kilometers for each trip. The money earned through Ola often does not get credited to the account, and there is no Ola call center number, so the driver has to bear the resulting losses. Therefore, no one should use Ola.",1
impressive,5
बीना काम किये दिन का भी 149 रुपये लगाता है...👎👎👎👎👎👎,1
